question,api_route
How much room do I have left in my budget?,/api/agent/analytics/budget
Retrieve transactions matching travel.,/api/agent/transactions/search
Check statement logs for errors.,/api/agent/analytics/statements
List all my category budgets and limits.,/api/agent/analytics/budget
What monthly regular bills do I pay?,/api/agent/analytics/recurring
Show current funds in my NBP wallet.,/api/agent/overview
Search my payment logs for Savyour.,/api/agent/transactions/search
How close am I to my saving goal of 10000 PKR in Meezan?,/api/agent/analytics/savings
Did my category expenses increase or decrease MoM?,/api/agent/trends/mom
What did I spend on fuel in HBL during June?,/api/agent/summary/expense-income
Detect any spending anomaly in March.,/api/agent/analytics/anomalies
How much budget do I have left for shopping in my JazzCash account for July?,/api/agent/analytics/budget
Find my latest transaction for dining out.,/api/agent/transactions/search
Check my top expense categories.,/api/agent/analytics/top-categories
Search for transactions from last night.,/api/agent/transactions/search
What is my cashflow for HBL in July?,/api/agent/trends/cashflow
Show my budget utilization for shopping in September.,/api/agent/analytics/budget
What are my total debt and asset values?,/api/agent/analytics/net-worth
How much net return have I made on investments?,/api/agent/analytics/investments
Did I exceed my monthly budget limit?,/api/agent/analytics/budget
List category expenditure from highest to lowest.,/api/agent/analytics/top-categories
What did I spend on fuel in UBL during June?,/api/agent/summary/expense-income
Show my investment return rate and net profit.,/api/agent/analytics/investments
What is my current bank status?,/api/agent/overview
Analyze my cashflow trend since January.,/api/agent/trends/cashflow
What are my balances in UBL and Alfalah for January?,/api/agent/overview
Show investment profit for June in my NBP portfolio.,/api/agent/analytics/investments
Show my projected ending balance for February.,/api/agent/analytics/projections
Search my payment logs for Speedy.,/api/agent/transactions/search
Show current funds in my Easypaisa wallet.,/api/agent/overview
Is my monthly fuel budget running out?,/api/agent/analytics/budget
List recurring items under groceries for my Meezan card.,/api/agent/analytics/recurring
Detect any spending anomaly in April.,/api/agent/analytics/anomalies
List recurring items under rent for my SCB card.,/api/agent/analytics/recurring
Find transactions matching Daraz from last week.,/api/agent/transactions/search
Is my monthly food budget running out?,/api/agent/analytics/budget
How close am I to my saving goal of 5000 PKR in Alfalah?,/api/agent/analytics/savings
Search all transactions under 10000 PKR.,/api/agent/transactions/search
Is my monthly utilities budget running out?,/api/agent/analytics/budget
List recurring items under rent for my HBL card.,/api/agent/analytics/recurring
Show my projected ending balance for September.,/api/agent/analytics/projections
Get statement report for November for JazzCash.,/api/agent/analytics/statements
Get statement report for November for Alfalah.,/api/agent/analytics/statements
List all debit transactions matching KFC.,/api/agent/transactions/search
Find transactions matching Speedy from last week.,/api/agent/transactions/search
What did I spend on shopping in Meezan during December?,/api/agent/summary/expense-income
What is my cashflow for Meezan in June?,/api/agent/trends/cashflow
Provide a summary of inflow and outflow for March.,/api/agent/summary/expense-income
Compare my spending in June vs August by category in SCB.,/api/agent/trends/mom
Summarize my performance from my latest bank statement.,/api/agent/analytics/statements
What is my current balance in Alfalah?,/api/agent/overview
What did I spend the most money on in SCB during March?,/api/agent/analytics/top-categories
What is my cashflow for HBL in April?,/api/agent/trends/cashflow
When will my UBL balance run out based on trend?,/api/agent/analytics/projections
Detect any spending anomaly in May.,/api/agent/analytics/anomalies
What is the MoM change for entertainment?,/api/agent/trends/mom
Find transactions matching Spotify from last night.,/api/agent/transactions/search
Compare my spending in August vs March by category in JazzCash.,/api/agent/trends/mom
List recurring items under rent for my NBP card.,/api/agent/analytics/recurring
Track my progress for the groceries savings goal.,/api/agent/analytics/savings
What is the MoM change for fuel?,/api/agent/trends/mom
Show my recurring expenses list.,/api/agent/analytics/recurring
What is the remaining balance on my rent budget?,/api/agent/analytics/budget
When will my HBL balance run out based on trend?,/api/agent/analytics/projections
Show my balance trend for UBL since July.,/api/agent/trends/monthly-balance
What did I spend on utilities in UBL during August?,/api/agent/summary/expense-income
What is the remaining balance on my groceries budget?,/api/agent/analytics/budget
What did I spend on shopping in NBP during March?,/api/agent/summary/expense-income
What is my top category in January?,/api/agent/analytics/top-categories
What is my cashflow for UBL in September?,/api/agent/trends/cashflow
Retrieve transactions matching fuel.,/api/agent/transactions/search
List recurring items under rent for my Easypaisa card.,/api/agent/analytics/recurring
Provide a summary of inflow and outflow for January.,/api/agent/summary/expense-income
Compare my spending in November vs May by category in Meezan.,/api/agent/trends/mom
When will my NBP balance run out based on trend?,/api/agent/analytics/projections
What are my balances in NBP and HBL for February?,/api/agent/overview
Show investment profit for May in my Alfalah portfolio.,/api/agent/analytics/investments
Retrieve expense and income summary for June.,/api/agent/summary/expense-income
Did I make any purchases at Speedy recently?,/api/agent/transactions/search
Show my balance trend for SCB since October.,/api/agent/trends/monthly-balance
Find transactions matching Savyour from last week.,/api/agent/transactions/search
Show current funds in my HBL wallet.,/api/agent/overview
Compare my spending in July vs June by category in Meezan.,/api/agent/trends/mom
Check my net worth using my Easypaisa portfolio.,/api/agent/analytics/net-worth
Get statement report for February for Easypaisa.,/api/agent/analytics/statements
What is my net worth today?,/api/agent/analytics/net-worth
Detect any spending anomaly in November.,/api/agent/analytics/anomalies
List all debit transactions matching Netflix.,/api/agent/transactions/search
List recurring items under food for my HBL card.,/api/agent/analytics/recurring
How close am I to my saving goal of 25000 PKR in NBP?,/api/agent/analytics/savings
What did I spend the most money on in JazzCash during December?,/api/agent/analytics/top-categories
Are there any unusual transaction spikes on my JazzCash account in June?,/api/agent/analytics/anomalies
Track my progress for the entertainment savings goal.,/api/agent/analytics/savings
Provide a summary of inflow and outflow for April.,/api/agent/summary/expense-income
Show investment profit for April in my SCB portfolio.,/api/agent/analytics/investments
Did I make any purchases at Uber recently?,/api/agent/transactions/search
Analyze my cashflow trend since February.,/api/agent/trends/cashflow
Is my monthly travel budget running out?,/api/agent/analytics/budget
Are there any unusual transaction spikes on my UBL account in June?,/api/agent/analytics/anomalies
Show my budget utilization for entertainment in February.,/api/agent/analytics/budget
Analyze my cashflow trend since December.,/api/agent/trends/cashflow
What did I spend the most money on in HBL during November?,/api/agent/analytics/top-categories
What did I spend the most money on in JazzCash during March?,/api/agent/analytics/top-categories
List all debit transactions matching Daraz.,/api/agent/transactions/search
Calculate my current net worth in NBP as of August.,/api/agent/analytics/net-worth
When will my SCB balance run out based on trend?,/api/agent/analytics/projections
When will my Easypaisa balance run out based on trend?,/api/agent/analytics/projections
Search for transactions from today.,/api/agent/transactions/search
Calculate my current net worth in UBL as of January.,/api/agent/analytics/net-worth
What is the MoM change for food?,/api/agent/trends/mom
Compare my spending in June vs February by category in HBL.,/api/agent/trends/mom
What is my cashflow for JazzCash in December?,/api/agent/trends/cashflow
Show my projected ending balance for July.,/api/agent/analytics/projections
What is my top category in May?,/api/agent/analytics/top-categories
Retrieve transactions matching groceries.,/api/agent/transactions/search
Show my budget utilization for dining out in May.,/api/agent/analytics/budget
Get statement report for July for JazzCash.,/api/agent/analytics/statements
How much budget do I have left for shopping in my JazzCash account for October?,/api/agent/analytics/budget
Are there any unusual transaction spikes on my SCB account in September?,/api/agent/analytics/anomalies
Find transactions over 1500 PKR.,/api/agent/transactions/search
Are there any unusual transaction spikes on my UBL account in September?,/api/agent/analytics/anomalies
What is the MoM change for rent?,/api/agent/trends/mom
Calculate my current net worth in Alfalah as of October.,/api/agent/analytics/net-worth
Calculate my current net worth in Easypaisa as of September.,/api/agent/analytics/net-worth
How much budget do I have left for utilities in my Easypaisa account for January?,/api/agent/analytics/budget
Am I over budget this month?,/api/agent/analytics/budget
What did I spend the most money on in NBP during March?,/api/agent/analytics/top-categories
Retrieve transactions matching shopping.,/api/agent/transactions/search
Retrieve expense and income summary for January.,/api/agent/summary/expense-income
Find transactions over 25000 PKR.,/api/agent/transactions/search
Show investment profit for September in my JazzCash portfolio.,/api/agent/analytics/investments
How much budget do I have left for shopping in my Alfalah account for October?,/api/agent/analytics/budget
Find transactions matching Savyour from last night.,/api/agent/transactions/search
How close am I to my saving goal of 1500 PKR in Alfalah?,/api/agent/analytics/savings
List recurring items under travel for my UBL card.,/api/agent/analytics/recurring
Compare my spending in July vs June by category in Easypaisa.,/api/agent/trends/mom
Search my payment logs for Daraz.,/api/agent/transactions/search
Calculate my current net worth in Meezan as of September.,/api/agent/analytics/net-worth
Analyze my cashflow trend since July.,/api/agent/trends/cashflow
Check my net worth using my JazzCash portfolio.,/api/agent/analytics/net-worth
Compare my spending in June vs October by category in UBL.,/api/agent/trends/mom
How close am I to my saving goal of 10000 PKR in JazzCash?,/api/agent/analytics/savings
What did I spend the most money on in JazzCash during November?,/api/agent/analytics/top-categories
Show my balance trend for Easypaisa since July.,/api/agent/trends/monthly-balance
List recurring items under utilities for my HBL card.,/api/agent/analytics/recurring
Show my projected ending balance for November.,/api/agent/analytics/projections
What did I spend on groceries in UBL during April?,/api/agent/summary/expense-income
What did I spend on travel in Alfalah during November?,/api/agent/summary/expense-income
What is my cashflow for Alfalah in January?,/api/agent/trends/cashflow
What is my cashflow for UBL in January?,/api/agent/trends/cashflow
Are there any unusual transaction spikes on my HBL account in June?,/api/agent/analytics/anomalies
Did I make any purchases at KFC recently?,/api/agent/transactions/search
Check my net worth using my HBL portfolio.,/api/agent/analytics/net-worth
How much budget do I have left for rent in my Alfalah account for January?,/api/agent/analytics/budget
How much budget do I have left for fuel in my Easypaisa account for June?,/api/agent/analytics/budget
Calculate my current net worth in Meezan as of July.,/api/agent/analytics/net-worth
Get statement report for August for JazzCash.,/api/agent/analytics/statements
Calculate my current net worth in UBL as of December.,/api/agent/analytics/net-worth
What are my balances in Alfalah and Meezan for March?,/api/agent/overview
Search my payment logs for Netflix.,/api/agent/transactions/search
What is the MoM change for dining out?,/api/agent/trends/mom
Compare my spending in September vs March by category in JazzCash.,/api/agent/trends/mom
What is my current balance in HBL?,/api/agent/overview
Get statement report for December for Easypaisa.,/api/agent/analytics/statements
Get statement report for December for JazzCash.,/api/agent/analytics/statements
Retrieve expense and income summary for September.,/api/agent/summary/expense-income
What is my top category in June?,/api/agent/analytics/top-categories
Show my projected ending balance for March.,/api/agent/analytics/projections
Provide a summary of inflow and outflow for February.,/api/agent/summary/expense-income
Are there any unusual transaction spikes on my SCB account in January?,/api/agent/analytics/anomalies
Check my net worth using my NBP portfolio.,/api/agent/analytics/net-worth
Retrieve expense and income summary for November.,/api/agent/summary/expense-income
Detect any spending anomaly in January.,/api/agent/analytics/anomalies
Calculate my current net worth in Easypaisa as of December.,/api/agent/analytics/net-worth
What is the MoM change for utilities?,/api/agent/trends/mom
Search all transactions under 5000 PKR.,/api/agent/transactions/search
Get statement report for July for NBP.,/api/agent/analytics/statements
Get statement report for October for JazzCash.,/api/agent/analytics/statements
Retrieve expense and income summary for May.,/api/agent/summary/expense-income
What is my cashflow for JazzCash in June?,/api/agent/trends/cashflow
Show my budget utilization for dining out in July.,/api/agent/analytics/budget
Show my budget utilization for utilities in December.,/api/agent/analytics/budget
Find my latest transaction for food.,/api/agent/transactions/search
What is the MoM change for travel?,/api/agent/trends/mom
Are there any unusual transaction spikes on my JazzCash account in August?,/api/agent/analytics/anomalies
Show current funds in my SCB wallet.,/api/agent/overview
Is my monthly entertainment budget running out?,/api/agent/analytics/budget
Search all transactions under 25000 PKR.,/api/agent/transactions/search
Are there any unusual transaction spikes on my JazzCash account in March?,/api/agent/analytics/anomalies
What is my top category in July?,/api/agent/analytics/top-categories
Search for transactions from yesterday.,/api/agent/transactions/search
Show my balance trend for SCB since March.,/api/agent/trends/monthly-balance
Show investment profit for May in my SCB portfolio.,/api/agent/analytics/investments
Show my budget utilization for utilities in April.,/api/agent/analytics/budget
What are my balances in Easypaisa and Alfalah for July?,/api/agent/overview
Track my progress for the food savings goal.,/api/agent/analytics/savings
Find transactions matching Spotify from this morning.,/api/agent/transactions/search
What did I spend the most money on in UBL during August?,/api/agent/analytics/top-categories
Show current funds in my Meezan wallet.,/api/agent/overview
How close am I to my saving goal of 500 PKR in Alfalah?,/api/agent/analytics/savings
What are my balances in Alfalah and Easypaisa for August?,/api/agent/overview
Find my latest transaction for groceries.,/api/agent/transactions/search
Calculate my current net worth in Easypaisa as of February.,/api/agent/analytics/net-worth
Did I make any purchases at McDonalds recently?,/api/agent/transactions/search
Get statement report for February for HBL.,/api/agent/analytics/statements
Find transactions over 100000 PKR.,/api/agent/transactions/search
Is my monthly shopping budget running out?,/api/agent/analytics/budget
Analyze my cashflow trend since May.,/api/agent/trends/cashflow
What did I spend on utilities in Meezan during April?,/api/agent/summary/expense-income
Show current funds in my Alfalah wallet.,/api/agent/overview
Show investment profit for August in my Easypaisa portfolio.,/api/agent/analytics/investments
How much budget do I have left for shopping in my JazzCash account for August?,/api/agent/analytics/budget
What is the remaining balance on my entertainment budget?,/api/agent/analytics/budget
List recurring items under groceries for my SCB card.,/api/agent/analytics/recurring
Find transactions matching Careem from this morning.,/api/agent/transactions/search
List recurring items under food for my Meezan card.,/api/agent/analytics/recurring
How much budget do I have left for entertainment in my Meezan account for August?,/api/agent/analytics/budget
What did I spend on food in Meezan during August?,/api/agent/summary/expense-income
Check my net worth using my Meezan portfolio.,/api/agent/analytics/net-worth
What did I spend on dining out in UBL during January?,/api/agent/summary/expense-income
What are my balances in NBP and JazzCash for December?,/api/agent/overview
How much budget do I have left for groceries in my NBP account for October?,/api/agent/analytics/budget
What are my balances in Meezan and HBL for August?,/api/agent/overview
Find my latest transaction for rent.,/api/agent/transactions/search
Track my progress for the travel savings goal.,/api/agent/analytics/savings
What is my cashflow for HBL in August?,/api/agent/trends/cashflow
How much budget do I have left for shopping in my HBL account for February?,/api/agent/analytics/budget
Analyze my cashflow trend since March.,/api/agent/trends/cashflow
Get statement report for February for Alfalah.,/api/agent/analytics/statements
What are my balances in Meezan and Easypaisa for April?,/api/agent/overview
What is the remaining balance on my travel budget?,/api/agent/analytics/budget
Show my balance trend for Easypaisa since April.,/api/agent/trends/monthly-balance
What is my top category in October?,/api/agent/analytics/top-categories
Show current funds in my JazzCash wallet.,/api/agent/overview
How much budget do I have left for utilities in my HBL account for February?,/api/agent/analytics/budget
List recurring items under entertainment for my Easypaisa card.,/api/agent/analytics/recurring
Show my balance trend for Easypaisa since December.,/api/agent/trends/monthly-balance
Track my progress for the dining out savings goal.,/api/agent/analytics/savings
Show my budget utilization for shopping in November.,/api/agent/analytics/budget
What is my cashflow for JazzCash in February?,/api/agent/trends/cashflow
Retrieve expense and income summary for December.,/api/agent/summary/expense-income
Find my latest transaction for entertainment.,/api/agent/transactions/search
Search my payment logs for Uber.,/api/agent/transactions/search
What did I spend the most money on in Meezan during October?,/api/agent/analytics/top-categories
How much budget do I have left for utilities in my HBL account for January?,/api/agent/analytics/budget
Is my monthly groceries budget running out?,/api/agent/analytics/budget
Analyze my cashflow trend since September.,/api/agent/trends/cashflow
Show my budget utilization for rent in June.,/api/agent/analytics/budget
Show my budget utilization for travel in October.,/api/agent/analytics/budget
Search my payment logs for Spotify.,/api/agent/transactions/search
Find transactions over 10000 PKR.,/api/agent/transactions/search
Get statement report for July for SCB.,/api/agent/analytics/statements
How much budget do I have left for rent in my NBP account for December?,/api/agent/analytics/budget
What is the remaining balance on my food budget?,/api/agent/analytics/budget
Show investment profit for July in my UBL portfolio.,/api/agent/analytics/investments
List recurring items under shopping for my UBL card.,/api/agent/analytics/recurring
Provide a summary of inflow and outflow for October.,/api/agent/summary/expense-income
Analyze my cashflow trend since November.,/api/agent/trends/cashflow
What are my balances in Meezan and SCB for August?,/api/agent/overview
Find my latest transaction for shopping.,/api/agent/transactions/search
What did I spend the most money on in Meezan during January?,/api/agent/analytics/top-categories
Show investment profit for October in my JazzCash portfolio.,/api/agent/analytics/investments
Find my latest transaction for utilities.,/api/agent/transactions/search
What did I spend the most money on in Easypaisa during April?,/api/agent/analytics/top-categories
Show investment profit for October in my NBP portfolio.,/api/agent/analytics/investments
Calculate my current net worth in SCB as of January.,/api/agent/analytics/net-worth
Retrieve expense and income summary for March.,/api/agent/summary/expense-income
What is my current balance in SCB?,/api/agent/overview
Show my budget utilization for fuel in January.,/api/agent/analytics/budget
Find transactions over 500 PKR.,/api/agent/transactions/search
Show my budget utilization for entertainment in July.,/api/agent/analytics/budget
List all debit transactions matching Savyour.,/api/agent/transactions/search
What are my balances in Meezan and HBL for October?,/api/agent/overview
Compare my spending in March vs January by category in JazzCash.,/api/agent/trends/mom
Are there any unusual transaction spikes on my JazzCash account in April?,/api/agent/analytics/anomalies
Compare my spending in October vs November by category in Alfalah.,/api/agent/trends/mom
What is my top category in February?,/api/agent/analytics/top-categories
Are there any unusual transaction spikes on my NBP account in July?,/api/agent/analytics/anomalies
What is the remaining balance on my dining out budget?,/api/agent/analytics/budget
Retrieve transactions matching food.,/api/agent/transactions/search
Compare my spending in August vs November by category in JazzCash.,/api/agent/trends/mom
Show my budget utilization for rent in April.,/api/agent/analytics/budget
Compare my spending in January vs April by category in UBL.,/api/agent/trends/mom
Find transactions matching Spotify from two days ago.,/api/agent/transactions/search
What did I spend on dining out in Easypaisa during August?,/api/agent/summary/expense-income
Are there any unusual transaction spikes on my Easypaisa account in October?,/api/agent/analytics/anomalies
Show investment profit for July in my NBP portfolio.,/api/agent/analytics/investments
Compare my spending in June vs January by category in JazzCash.,/api/agent/trends/mom
What are my balances in HBL and Easypaisa for April?,/api/agent/overview
Compare my spending in September vs April by category in Easypaisa.,/api/agent/trends/mom
Show my budget utilization for groceries in March.,/api/agent/analytics/budget
Find transactions matching Daraz from yesterday.,/api/agent/transactions/search
What did I spend the most money on in JazzCash during August?,/api/agent/analytics/top-categories
What is my cashflow for HBL in December?,/api/agent/trends/cashflow
Show current funds in my UBL wallet.,/api/agent/overview
Calculate my current net worth in Alfalah as of January.,/api/agent/analytics/net-worth
Track my progress for the rent savings goal.,/api/agent/analytics/savings
What is my cashflow for Alfalah in December?,/api/agent/trends/cashflow
How much budget do I have left for travel in my SCB account for February?,/api/agent/analytics/budget
How much budget do I have left for rent in my JazzCash account for August?,/api/agent/analytics/budget
How close am I to my saving goal of 25000 PKR in SCB?,/api/agent/analytics/savings
Compare my spending in November vs January by category in Meezan.,/api/agent/trends/mom
What is my cashflow for NBP in May?,/api/agent/trends/cashflow
Did I make any purchases at Netflix recently?,/api/agent/transactions/search
Analyze my cashflow trend since June.,/api/agent/trends/cashflow
Get statement report for January for SCB.,/api/agent/analytics/statements
Show investment profit for November in my JazzCash portfolio.,/api/agent/analytics/investments
What are my balances in UBL and Easypaisa for October?,/api/agent/overview
How close am I to my saving goal of 25000 PKR in JazzCash?,/api/agent/analytics/savings
Show my balance trend for JazzCash since September.,/api/agent/trends/monthly-balance
Detect any spending anomaly in August.,/api/agent/analytics/anomalies
Find transactions matching Netflix from last night.,/api/agent/transactions/search
What are my balances in UBL and NBP for March?,/api/agent/overview
Detect any spending anomaly in February.,/api/agent/analytics/anomalies
Check my net worth using my Alfalah portfolio.,/api/agent/analytics/net-worth
What is my current balance in Meezan?,/api/agent/overview
Get statement report for September for HBL.,/api/agent/analytics/statements
Get statement report for January for JazzCash.,/api/agent/analytics/statements
Are there any unusual transaction spikes on my SCB account in March?,/api/agent/analytics/anomalies
Are there any unusual transaction spikes on my HBL account in December?,/api/agent/analytics/anomalies
Get statement report for March for Easypaisa.,/api/agent/analytics/statements
List recurring items under entertainment for my JazzCash card.,/api/agent/analytics/recurring
What did I spend the most money on in JazzCash during May?,/api/agent/analytics/top-categories
How much budget do I have left for shopping in my UBL account for December?,/api/agent/analytics/budget
Analyze my cashflow trend since August.,/api/agent/trends/cashflow
Are there any unusual transaction spikes on my SCB account in June?,/api/agent/analytics/anomalies
Show my balance trend for SCB since May.,/api/agent/trends/monthly-balance
Detect any spending anomaly in June.,/api/agent/analytics/anomalies
How close am I to my saving goal of 500 PKR in UBL?,/api/agent/analytics/savings
Are there any unusual transaction spikes on my JazzCash account in October?,/api/agent/analytics/anomalies
List recurring items under dining out for my JazzCash card.,/api/agent/analytics/recurring
Search all transactions under 50000 PKR.,/api/agent/transactions/search
Get statement report for June for HBL.,/api/agent/analytics/statements
Get statement report for June for Alfalah.,/api/agent/analytics/statements
Calculate my current net worth in Easypaisa as of August.,/api/agent/analytics/net-worth
Show my balance trend for JazzCash since August.,/api/agent/trends/monthly-balance
Compare my spending in May vs November by category in SCB.,/api/agent/trends/mom
Search for transactions from two days ago.,/api/agent/transactions/search
What did I spend the most money on in SCB during August?,/api/agent/analytics/top-categories
What did I spend on utilities in JazzCash during November?,/api/agent/summary/expense-income
What is my cashflow for UBL in March?,/api/agent/trends/cashflow
What is my cashflow for HBL in June?,/api/agent/trends/cashflow
Search all transactions under 500 PKR.,/api/agent/transactions/search
How close am I to my saving goal of 10000 PKR in Alfalah?,/api/agent/analytics/savings
When will my JazzCash balance run out based on trend?,/api/agent/analytics/projections
Show my balance trend for Easypaisa since October.,/api/agent/trends/monthly-balance
Get statement report for November for Easypaisa.,/api/agent/analytics/statements
What is my top category in August?,/api/agent/analytics/top-categories
