question,intent
Find debit transactions exceeding 100000 PKR in November.,LIVE_FINANCIAL_DATA
Show my credit transactions in SCB from yesterday.,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in July?,LIVE_FINANCIAL_DATA
Check my budget utilization rate for shopping in December.,LIVE_FINANCIAL_DATA
How much budget is left for dining out in October?,LIVE_FINANCIAL_DATA
Search for shopping transactions from today.,LIVE_FINANCIAL_DATA
Show me my NBP account balance as of November.,LIVE_FINANCIAL_DATA
Search for utilities transactions from last night.,LIVE_FINANCIAL_DATA
Did I make any payments of 25000 PKR to KFC two days ago?,LIVE_FINANCIAL_DATA
Show my latest bank statement details for HBL.,LIVE_FINANCIAL_DATA
Show my recent transactions for utilities in HBL.,LIVE_FINANCIAL_DATA
Is my JazzCash account balance correct for June?,LIVE_FINANCIAL_DATA
Am I over my entertainment budget this month?,LIVE_FINANCIAL_DATA
Search for utilities transactions from this morning.,LIVE_FINANCIAL_DATA
List transactions matching Spotify under 100000 PKR.,LIVE_FINANCIAL_DATA
Retrieve transaction history from February for dining out.,LIVE_FINANCIAL_DATA
What is my current balance in Meezan?,LIVE_FINANCIAL_DATA
Is my Meezan account balance correct for February?,LIVE_FINANCIAL_DATA
Detect any outlier transaction on my HBL account.,LIVE_FINANCIAL_DATA
Show me my NBP account balance as of February.,LIVE_FINANCIAL_DATA
How much money do I have in my Meezan wallet?,LIVE_FINANCIAL_DATA
How much budget is left for shopping in November?,LIVE_FINANCIAL_DATA
List my savings goals progress for entertainment.,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of December?,LIVE_FINANCIAL_DATA
List my savings goals progress for groceries.,LIVE_FINANCIAL_DATA
What is my current balance in HBL?,LIVE_FINANCIAL_DATA
Show my top spending categories for October.,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 1500 PKR in March.,LIVE_FINANCIAL_DATA
Search for food transactions from this morning.,LIVE_FINANCIAL_DATA
List transactions matching Netflix under 5000 PKR.,LIVE_FINANCIAL_DATA
How much budget is left for dining out in December?,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my dining out spending?,LIVE_FINANCIAL_DATA
Check my budget utilization rate for food in June.,LIVE_FINANCIAL_DATA
Show me my JazzCash account balance as of December.,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of October?,LIVE_FINANCIAL_DATA
What was the largest expense I recorded on shopping yesterday?,LIVE_FINANCIAL_DATA
Find debit transactions exceeding 1500 PKR in June.,LIVE_FINANCIAL_DATA
Is my SCB account balance correct for January?,LIVE_FINANCIAL_DATA
Show my latest bank statement details for Meezan.,LIVE_FINANCIAL_DATA
Show me my Alfalah account balance as of August.,LIVE_FINANCIAL_DATA
List all transactions under 1500 PKR for travel.,LIVE_FINANCIAL_DATA
What is my asset breakdown for my SCB account?,LIVE_FINANCIAL_DATA
How much total returns have I made on investments as of May?,LIVE_FINANCIAL_DATA
Is my UBL account balance correct for July?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in December?,LIVE_FINANCIAL_DATA
What is my current balance in NBP?,LIVE_FINANCIAL_DATA
Show my credit transactions in UBL from this morning.,LIVE_FINANCIAL_DATA
Am I over my travel budget this month?,LIVE_FINANCIAL_DATA
Which category did I spend most of my money on in February?,LIVE_FINANCIAL_DATA
Is my SCB account balance correct for March?,LIVE_FINANCIAL_DATA
Show my recent transactions for dining out in Easypaisa.,LIVE_FINANCIAL_DATA
List all transactions under 5000 PKR for rent.,LIVE_FINANCIAL_DATA
What is my current savings rate for my utilities goal?,LIVE_FINANCIAL_DATA
List all transactions under 25000 PKR for food.,LIVE_FINANCIAL_DATA
Show my credit transactions in NBP from last week.,LIVE_FINANCIAL_DATA
Show my recent transactions for travel in Alfalah.,LIVE_FINANCIAL_DATA
Are there anomalies or spikes in my travel spending?,LIVE_FINANCIAL_DATA
Retrieve transaction history from June for travel.,LIVE_FINANCIAL_DATA
Retrieve transaction history from December for utilities.,LIVE_FINANCIAL_DATA
List all transactions under 50000 PKR for fuel.,LIVE_FINANCIAL_DATA
Did I make any payments of 50000 PKR to Careem two days ago?,LIVE_FINANCIAL_DATA
Retrieve transaction history from June for fuel.,LIVE_FINANCIAL_DATA
What was my biggest spending category in previous months like March?,RAG_FINANCIAL_MEMORY
Summarize my budget trends for entertainment over the last three months.,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like February?,RAG_FINANCIAL_MEMORY
Did I spend more on fuel in October compared to March?,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for March.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from June.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for Alfalah.,RAG_FINANCIAL_MEMORY
Compare my SCB balances between April and May.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in August?,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for April.,RAG_FINANCIAL_MEMORY
What observations did you write down in my June summary?,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from February.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from January.,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since February?,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in December?,RAG_FINANCIAL_MEMORY
Compare my performance in JazzCash from last month to this month.,RAG_FINANCIAL_MEMORY
What observations did you write down in my August summary?,RAG_FINANCIAL_MEMORY
Show me the comparison report for April and March.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in May?,RAG_FINANCIAL_MEMORY
Summarize my budget trends for shopping over the last three months.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in August?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my fuel habits.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for UBL.,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for November.,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for dining out?,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since August?,RAG_FINANCIAL_MEMORY
Show me the comparison report for December and January.,RAG_FINANCIAL_MEMORY
Summarize my budget trends for food over the last three months.,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my travel habits.,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my shopping habits.,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like April?,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like September?,RAG_FINANCIAL_MEMORY
Compare my performance in Meezan from last month to this month.,RAG_FINANCIAL_MEMORY
Summarize my financial health in January based on past logs.,RAG_FINANCIAL_MEMORY
Summarize my financial health in July based on past logs.,RAG_FINANCIAL_MEMORY
Did I spend more on shopping in March compared to August?,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for food.,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for entertainment?,RAG_FINANCIAL_MEMORY
Did I spend more on utilities in February compared to December?,RAG_FINANCIAL_MEMORY
Do you see a trend in my fuel spending?,RAG_FINANCIAL_MEMORY
Do you see a trend in my shopping spending?,RAG_FINANCIAL_MEMORY
Summarize my financial health in October based on past logs.,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since June?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my rent habits.,RAG_FINANCIAL_MEMORY
Summarize my financial health in June based on past logs.,RAG_FINANCIAL_MEMORY
How did my spending change between December and March?,RAG_FINANCIAL_MEMORY
Compare my Alfalah balances between February and May.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in March?,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for travel?,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in April?,RAG_FINANCIAL_MEMORY
Summarize my financial health in September based on past logs.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for Meezan.,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since December?,RAG_FINANCIAL_MEMORY
What were my core financial highlights in February?,RAG_FINANCIAL_MEMORY
Do you see a trend in my dining out spending?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my entertainment habits.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from September.,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during November.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for JazzCash.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in October?,RAG_FINANCIAL_MEMORY
How did my spending change between February and January?,RAG_FINANCIAL_MEMORY
What were my core financial highlights in July?,RAG_FINANCIAL_MEMORY
Compare my Alfalah balances between May and November.,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since May?,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during June.,RAG_FINANCIAL_MEMORY
Did I spend more on utilities in April compared to August?,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like July?,RAG_FINANCIAL_MEMORY
Did I spend more on entertainment in October compared to June?,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for shopping.,RAG_FINANCIAL_MEMORY
What observations did you write down in my January summary?,RAG_FINANCIAL_MEMORY
Summarize my budget trends for travel over the last three months.,RAG_FINANCIAL_MEMORY
Compare my performance in NBP from last month to this month.,RAG_FINANCIAL_MEMORY
Show me the comparison report for December and June.,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since January?,RAG_FINANCIAL_MEMORY
Compare my NBP balances between May and February.,RAG_FINANCIAL_MEMORY
Compare my JazzCash balances between May and October.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in July?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my dining out habits.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for groceries.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for entertainment.,RAG_FINANCIAL_MEMORY
Did I spend more on fuel in October compared to June?,RAG_FINANCIAL_MEMORY
What were my core financial highlights in June?,RAG_FINANCIAL_MEMORY
What were my core financial highlights in May?,RAG_FINANCIAL_MEMORY
Show me the comparison report for November and October.,RAG_FINANCIAL_MEMORY
How did my spending change between August and June?,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during July.,RAG_FINANCIAL_MEMORY
What observations did you write down in my September summary?,RAG_FINANCIAL_MEMORY
Compare my NBP balances between June and September.,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during April.,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like May?,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in October?,RAG_FINANCIAL_MEMORY
Summarize my financial health in March based on past logs.,RAG_FINANCIAL_MEMORY
Summarize my financial health in August based on past logs.,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during September.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for rent.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from November.,RAG_FINANCIAL_MEMORY
Did I spend more on food in May compared to November?,RAG_FINANCIAL_MEMORY
Compare my JazzCash balances between December and January.,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like January?,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like August?,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during February.,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for January.,RAG_FINANCIAL_MEMORY
How did my spending change between May and July?,RAG_FINANCIAL_MEMORY
Did I spend more on groceries in May compared to October?,RAG_FINANCIAL_MEMORY
Summarize my financial health in December based on past logs.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in November?,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for NBP.,RAG_FINANCIAL_MEMORY
Compare my NBP balances between November and April.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for travel.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in September?,RAG_FINANCIAL_MEMORY
What were my core financial highlights in January?,RAG_FINANCIAL_MEMORY
Compare my performance in Easypaisa from last month to this month.,RAG_FINANCIAL_MEMORY
Compare my Meezan balances between January and February.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from March.,RAG_FINANCIAL_MEMORY
Summarize my financial health in February based on past logs.,RAG_FINANCIAL_MEMORY
Summarize my budget trends for groceries over the last three months.,RAG_FINANCIAL_MEMORY
Compare my SCB balances between July and April.,RAG_FINANCIAL_MEMORY
Compare my performance in HBL from last month to this month.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for HBL.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from May.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for fuel.,RAG_FINANCIAL_MEMORY
Compare my JazzCash balances between August and April.,RAG_FINANCIAL_MEMORY
Show me the comparison report for April and June.,RAG_FINANCIAL_MEMORY
Show me the comparison report for July and November.,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during October.,RAG_FINANCIAL_MEMORY
Show me the comparison report for June and September.,RAG_FINANCIAL_MEMORY
How did my spending change between May and September?,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since October?,RAG_FINANCIAL_MEMORY
Show me the comparison report for August and November.,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for December.,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for September.,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for groceries?,RAG_FINANCIAL_MEMORY
How did my spending change between April and September?,RAG_FINANCIAL_MEMORY
How did my spending change between January and September?,RAG_FINANCIAL_MEMORY
How did my spending change between September and May?,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in February?,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for SCB.,RAG_FINANCIAL_MEMORY
Show me the comparison report for July and February.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in April?,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for fuel?,RAG_FINANCIAL_MEMORY
Compare my JazzCash balances between August and January.,RAG_FINANCIAL_MEMORY
Compare my SCB balances between October and November.,RAG_FINANCIAL_MEMORY
How did my spending change between April and October?,RAG_FINANCIAL_MEMORY
Compare my performance in Alfalah from last month to this month.,RAG_FINANCIAL_MEMORY
How did my spending change between November and May?,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for utilities?,RAG_FINANCIAL_MEMORY
Summarize my financial health in May based on past logs.,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from August.,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in January?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my utilities habits.,RAG_FINANCIAL_MEMORY
What observations did you write down in my March summary?,RAG_FINANCIAL_MEMORY
Do you see a trend in my entertainment spending?,RAG_FINANCIAL_MEMORY
How did my spending change between July and June?,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like June?,RAG_FINANCIAL_MEMORY
Did I spend more on utilities in March compared to July?,RAG_FINANCIAL_MEMORY
Compare my NBP balances between January and August.,RAG_FINANCIAL_MEMORY
What was my biggest spending category in previous months like December?,RAG_FINANCIAL_MEMORY
Compare my SCB balances between September and July.,RAG_FINANCIAL_MEMORY
Compare my Alfalah balances between October and November.,RAG_FINANCIAL_MEMORY
Did I spend more on food in July compared to February?,RAG_FINANCIAL_MEMORY
Summarize my budget trends for dining out over the last three months.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in December?,RAG_FINANCIAL_MEMORY
What observations did you write down in my February summary?,RAG_FINANCIAL_MEMORY
How did my spending change between June and November?,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for dining out.,RAG_FINANCIAL_MEMORY
Did I spend more on rent in September compared to July?,RAG_FINANCIAL_MEMORY
How did my spending change between December and October?,RAG_FINANCIAL_MEMORY
Show my previous reports when I was in deficit during August.,RAG_FINANCIAL_MEMORY
Analyze my historical balance history for Easypaisa.,RAG_FINANCIAL_MEMORY
Did I spend more on food in February compared to April?,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for August.,RAG_FINANCIAL_MEMORY
What observations did you write down in my May summary?,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for February.,RAG_FINANCIAL_MEMORY
Do you see a trend in my rent spending?,RAG_FINANCIAL_MEMORY
Do you see a trend in my travel spending?,RAG_FINANCIAL_MEMORY
Give me the latest generated insight on my groceries habits.,RAG_FINANCIAL_MEMORY
Show me my long-term transaction patterns for utilities.,RAG_FINANCIAL_MEMORY
What patterns do you notice in my historical summaries for shopping?,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from April.,RAG_FINANCIAL_MEMORY
Did I spend more on shopping in September compared to October?,RAG_FINANCIAL_MEMORY
How did my spending change between February and March?,RAG_FINANCIAL_MEMORY
Show me the comparison report for February and November.,RAG_FINANCIAL_MEMORY
Summarize my financial health in November based on past logs.,RAG_FINANCIAL_MEMORY
How did my spending change between April and August?,RAG_FINANCIAL_MEMORY
How did my spending change between December and June?,RAG_FINANCIAL_MEMORY
What repeating financial mistakes do I make based on my history in June?,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from October.,RAG_FINANCIAL_MEMORY
Summarize my budget trends for utilities over the last three months.,RAG_FINANCIAL_MEMORY
Compare my HBL balances between November and March.,RAG_FINANCIAL_MEMORY
Show me the comparison report for February and May.,RAG_FINANCIAL_MEMORY
What were my core financial highlights in November?,RAG_FINANCIAL_MEMORY
Give me the narrative summary of my transactions from December.,RAG_FINANCIAL_MEMORY
Retrieve historical insights tagged with high savings for June.,RAG_FINANCIAL_MEMORY
How did my spending change between June and July?,RAG_FINANCIAL_MEMORY
Show me the comparison report for December and October.,RAG_FINANCIAL_MEMORY
What observations did you write down in my October summary?,RAG_FINANCIAL_MEMORY
How consistent is my savings rate historically since March?,RAG_FINANCIAL_MEMORY
Summarize my budget trends for rent over the last three months.,RAG_FINANCIAL_MEMORY
Did I spend more on travel in May compared to February?,RAG_FINANCIAL_MEMORY
Did I spend more on groceries in February compared to September?,RAG_FINANCIAL_MEMORY
When will my cash run out if I keep spending 5000 PKR on rent?,FINANCIAL_PLANNING
"If I save 25000 PKR every month in NBP, what is my net worth in 3 years?",FINANCIAL_PLANNING
Suggest a roadmap to clear my current liabilities of 1500 PKR.,FINANCIAL_PLANNING
Suggest a roadmap to clear my current liabilities of 25000 PKR.,FINANCIAL_PLANNING
